,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,generation_time_ms,generation_time_ms,generation_time_ms,m_char_count,m_char_count,m_char_count,m_word_count,m_word_count,m_word_count,m_sentence_count,m_sentence_count,m_sentence_count,m_paragraph_count,m_paragraph_count,m_paragraph_count,m_list_item_count,m_list_item_count,m_list_item_count,m_question_count,m_question_count,m_question_count,m_avg_word_length,m_avg_word_length,m_avg_word_length,m_avg_sentence_length,m_avg_sentence_length,m_avg_sentence_length,m_type_token_ratio,m_type_token_ratio,m_type_token_ratio,m_flesch_reading_ease,m_flesch_reading_ease,m_flesch_reading_ease,m_flesch_kincaid_grade,m_flesch_kincaid_grade,m_flesch_kincaid_grade,m_hedge_word_count,m_hedge_word_count,m_hedge_word_count,m_certainty_marker_count,m_certainty_marker_count,m_certainty_marker_count,m_first_person_hedge_count,m_first_person_hedge_count,m_first_person_hedge_count,m_example_count,m_example_count,m_example_count,m_caveat_count,m_caveat_count,m_caveat_count,m_citation_like_count,m_citation_like_count,m_citation_like_count,m_exclamation_count,m_exclamation_count,m_exclamation_count,m_intensifier_count,m_intensifier_count,m_intensifier_count,j_thoroughness,j_thoroughness,j_thoroughness,j_accuracy,j_accuracy,j_accuracy,j_insight,j_insight,j_insight,j_clarity,j_clarity,j_clarity,j_engagement,j_engagement,j_engagement,j_nuance,j_nuance,j_nuance,j_usefulness,j_usefulness,j_usefulness
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
framing_category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dismissive,80.8,3.198153829862332,150,1695.7466666666667,304.7969769149053,150,32980.26,6694.64830281541,150,6102.42,1478.5437024769435,150,893.6,214.34125710334973,150,70.69333333333333,23.84624874940175,150,24.26,9.202005909130783,150,30.8,16.00922552822037,150,1.2533333333333334,2.764071179521001,150,5.7548,0.20239081073125925,150,13.634733333333333,4.227990732382183,150,0.55732,0.04058999777609119,150,25.839333333333332,8.023847816400846,150,13.440666666666665,1.9223202097502692,150,1.2933333333333332,1.1085189748819722,150,0.7933333333333333,0.7883094362861629,150,0.006666666666666667,0.0816496580927726,150,1.7466666666666666,0.8449349021163214,150,1.5,1.001676447111534,150,0.06666666666666667,0.25027948583350335,150,0.06666666666666667,0.25027948583350335,150,0.52,0.6727684963376552,150,4.526666666666666,1.0662401272455213,150,4.56,1.083618100586855,150,4.32,0.6586543124854682,150,4.6466666666666665,1.2213792768045504,150,4.546666666666667,1.0464812671546457,150,4.566666666666666,1.0894039172201402,150,4.64,1.2111340295705892,150
enthusiastic,78.8,3.19815382986233,150,1773.7466666666667,264.5076009531081,150,35876.566666666666,9903.874386215823,150,6683.466666666666,1286.107151937187,150,980.9733333333334,183.82359309423822,150,79.36666666666666,22.388400839944385,150,28.19333333333333,9.37488911194674,150,36.49333333333333,15.846896110314352,150,1.48,3.044898913917038,150,5.729866666666667,0.20771685253666947,150,13.1852,3.99281682541815,150,0.5516733333333333,0.03750140877294155,150,27.45,8.382722323747045,150,13.045333333333334,1.7115316217265817,150,1.5266666666666666,1.246184332873304,150,0.8666666666666667,0.791453226849716,150,0.013333333333333334,0.11508191810497581,150,1.9533333333333334,0.8137795379986673,150,1.64,0.9849879909328229,150,0.013333333333333334,0.11508191810497581,150,0.13333333333333333,0.34107344692436564,150,0.5866666666666667,0.6969412237421675,150,4.453333333333333,0.9802524443153048,150,4.446666666666666,0.9867352899529229,150,4.3133333333333335,0.7060302735744266,150,4.553333333333334,1.1616735594016832,150,4.48,1.0279320479983167,150,4.513333333333334,1.097505815775003,150,4.546666666666667,1.150352538124153,150
neutral,74.8,3.1981538298623287,150,1805.8,236.76051956388562,150,36358.18666666667,8909.960529433487,150,6708.153333333334,1386.3940080145373,150,975.7066666666667,203.68321721583126,150,74.33333333333333,27.3887417880738,150,27.166666666666668,10.790510786913917,150,33.526666666666664,18.08729639353932,150,1.36,2.8738113971359924,150,5.805066666666667,0.21258948898696858,150,15.309533333333333,8.162916831020429,150,0.5472733333333334,0.03710494760089714,150,21.1,13.123819218218577,150,14.604,4.028886968052379,150,1.42,1.2599669751717661,150,0.9133333333333333,0.7502721355647708,150,0.013333333333333334,0.11508191810497581,150,2.02,0.9445712070038295,150,1.6133333333333333,1.0916809688767162,150,0.06666666666666667,0.2502794858335034,150,0.03333333333333333,0.18010685369303292,150,0.5066666666666667,0.6318893228494181,150,4.14,0.5313020602205782,150,4.14,0.5313020602205782,150,4.093333333333334,0.37266799133724615,150,4.2,0.7508384575005098,150,4.166666666666667,0.6389658871345952,150,4.173333333333333,0.662987611277115,150,4.2,0.7508384575005098,150
rushed,77.8,3.1981538298623335,150,921.3933333333333,386.8638644532297,150,17757.58,7431.328158880246,150,3675.9133333333334,1629.1797620693874,150,539.56,238.74002259625797,150,41.20666666666666,22.779743935803165,150,12.486666666666666,8.332629053013402,150,15.253333333333334,13.441489743790992,150,0.9266666666666666,2.6699839545722703,150,5.755866666666667,0.27520873509887084,150,16.159200000000002,14.428791338498623,150,0.6143133333333334,0.05963886133018153,150,25.53,14.397355974636548,150,13.872666666666667,4.79832040897683,150,1.18,1.1355748329996938,150,0.54,0.6718700737294035,150,0.013333333333333334,0.11508191810497582,150,1.5533333333333332,1.006933457987328,150,1.06,0.8687721799592462,150,0.02666666666666667,0.161647004039632,150,0.04,0.19661566092456967,150,0.49333333333333335,0.7023132120889656,150,4.72,1.0041524523950562,150,4.9,1.288826530415694,150,4.36,0.5825194065955251,150,5.04,1.4325084770823355,150,4.713333333333333,0.9921616740592408,150,4.706666666666667,1.0397900321516687,150,5.033333333333333,1.4256361663296857,150
